key,generation_settings
hellaswag,"temperature=0.0"
mmlu_english,"temperature=0.0"
mmlu_pro_english,"temperature=0.0"
mmlu_prox_english,"temperature=0.0"
english_mt_bench,""
swallow_gpqa_ja,"temperature=0.0"
jemhopqa,"temperature=0.0"
jemhopqa_cot,"temperature=0.0"
math_100_japanese,"temperature=0.0"
swallow_jmmlu,"temperature=0.0"
mmlu_prox_japanese,"temperature=0.0"
japanese_mt_bench,""
japanese_mt_bench_truncate_6144,""
wmt20:en-ja,"temperature=0.0"
wmt20:ja-en,"temperature=0.0"
swallow_jhumaneval,"temperature=0.2,top_p=0.95"
mifeval_ja,"temperature=0.0,top_p=1.0"
gpqa:diamond,"temperature=0.0"
math_500,"temperature=0.0"
aime,"temperature=0.0"
lcb:codegeneration_v5_v6,"temperature=0.6,top_p=0.95"
